identifier,time_total_s,time_perevent_s
Reader:PodioReader,36.6344,1.14482
Algorithm:EDM4hepSimInputConverter,138.433,4.32604
Algorithm:ParticleSelector,0.63605,0.0198766
Algorithm:DigitizationAlgorithm,22.0896,0.690299
Algorithm:ParticleSelector,2.28226,0.0713205
Algorithm:SpacePointMaker,1.10235,0.0344485
Algorithm:SeedingAlgorithm,52.7721,1.64913
Algorithm:TrackParamsEstimationAlgorithm,1.62832,0.0508849
Algorithm:SeedsToPrototracks,0.229911,0.00718473
Algorithm:PrototracksToTracks,2.07267,0.0647709
Algorithm:TrackTruthMatcher,7.9024,0.24695
Algorithm:TrackFindingAlgorithm,175.684,5.49011
Algorithm:TrackTruthMatcher,3.77823,0.11807
Writer:RootTrackSummaryWriter,0.843398,0.0263562
Writer:RootTrackFinderPerformanceWriter,180.88,5.65248
Algorithm:GreedyAmbiguityResolutionAlgorithm,1.29485,0.0404642
Algorithm:TrackTruthMatcher,3.73668,0.116771
Writer:RootTrackSummaryWriter,0.39855,0.0124547
Writer:RootTrackFinderPerformanceWriter,92.1471,2.8796
Writer:RootParticleWriter,0.479614,0.0149879

