identifier,time_total_s,time_perevent_s
Reader:PodioReader,40.1681,1.25525
Algorithm:EDM4hepSimInputConverter,195.431,6.10721
Algorithm:ParticleSelector,0.879694,0.0274904
Algorithm:DigitizationAlgorithm,39.4588,1.23309
Algorithm:ParticleSelector,4.89707,0.153034
Algorithm:SpacePointMaker,1.04734,0.0327295
Algorithm:SeedingAlgorithm,89.7231,2.80385
Algorithm:TrackParamsEstimationAlgorithm,16.206,0.506438
Algorithm:SeedsToPrototracks,1.21641,0.0380129
Algorithm:PrototracksToTracks,23.1321,0.722878
Algorithm:TrackTruthMatcher,58.3126,1.82227
Algorithm:TrackFindingAlgorithm,1900.97,59.4055
Algorithm:TrackTruthMatcher,8.53108,0.266596
Writer:RootTrackSummaryWriter,1.76785,0.0552452
Writer:RootTrackFinderPerformanceWriter,154.595,4.83109
Algorithm:GreedyAmbiguityResolutionAlgorithm,3.44039,0.107512
Algorithm:TrackTruthMatcher,8.08572,0.252679
Writer:RootTrackSummaryWriter,0.600035,0.0187511
Writer:RootTrackFinderPerformanceWriter,127.91,3.99719
Writer:RootParticleWriter,0.603767,0.0188677

