identifier,time_total_s,time_perevent_s
Reader:PodioReader,48.7791,1.52435
Algorithm:EDM4hepSimInputConverter,207.144,6.47325
Algorithm:ParticleSelector,1.07725,0.0336641
Algorithm:DigitizationAlgorithm,40.8662,1.27707
Algorithm:ParticleSelector,5.05498,0.157968
Algorithm:SpacePointMaker,1.38872,0.0433975
Algorithm:SeedingAlgorithm,72.8878,2.27774
Algorithm:TrackParamsEstimationAlgorithm,6.92703,0.21647
Algorithm:SeedsToPrototracks,0.711529,0.0222353
Algorithm:PrototracksToTracks,9.10512,0.284535
Algorithm:TrackTruthMatcher,31.3724,0.980389
Algorithm:TrackFindingAlgorithm,948.962,29.6551
Algorithm:TrackTruthMatcher,8.50916,0.265911
Writer:RootTrackSummaryWriter,1.69501,0.052969
Writer:RootTrackFinderPerformanceWriter,205.648,6.42651
Algorithm:GreedyAmbiguityResolutionAlgorithm,3.65765,0.114301
Algorithm:TrackTruthMatcher,8.18675,0.255836
Writer:RootTrackSummaryWriter,0.63011,0.0196909
Writer:RootTrackFinderPerformanceWriter,143.869,4.4959
Writer:RootParticleWriter,0.542458,0.0169518

