pt_cut_GeV,fast_eff_pct,fast_fake_pct,fast_n_T,medium_eff_pct,medium_fake_pct,medium_n_T,tight_eff_pct,tight_fake_pct,tight_n_T
0.1500,15.9686,1.6399,167140,18.9763,3.8063,167140,19.3718,2.9611,167140
0.2490,19.1395,1.6399,139450,22.7444,3.8063,139450,23.2184,2.9611,139450
0.2500,19.1836,1.6399,139129,22.7968,3.8063,139129,23.2719,2.9611,139129
0.3480,23.8792,1.6399,111771,28.3768,3.8063,111771,28.9682,2.9611,111771
0.3500,23.9873,1.6399,111267,28.5053,3.8063,111267,29.0994,2.9611,111267
0.4469,30.2303,1.6399,88289,35.9241,3.8063,88289,36.6716,2.9641,88289
0.4500,30.4555,1.6399,87636,36.1917,3.8063,87636,36.9449,2.9641,87636
0.5000,34.4063,1.6399,77573,40.8854,3.8093,77573,41.7375,2.9641,77573
0.5459,38.4948,1.6399,69334,45.7438,3.8093,69334,46.6928,2.9731,69334
0.5500,38.8670,1.6399,68670,46.1861,3.8093,68670,47.1429,2.9761,68670
0.6449,48.5626,1.6399,54960,57.7020,3.8184,54960,58.8046,3.1379,54960
0.6500,49.1510,1.6399,54302,58.3993,3.8214,54302,59.4877,3.1859,54302
0.7000,55.0309,1.6399,48500,65.3732,3.8396,48500,65.7546,4.4207,48500
0.7439,60.6389,1.6436,44013,72.0037,3.8851,44013,70.2565,7.3248,44013
0.7500,61.4289,1.6436,43447,72.9394,3.8881,43447,70.8219,7.7804,43447
0.8429,74.6292,1.7100,35738,88.2898,4.3037,35738,79.6967,14.6377,35738
0.8500,75.6933,1.7284,35229,89.4945,4.3795,35229,80.3401,15.1741,35229
0.9418,89.1604,3.4531,29383,96.0930,14.3667,29383,88.4321,22.1243,29383
0.9500,89.9512,4.1349,28919,96.1340,15.6830,28919,89.1075,22.7687,28919
1.0000,93.1874,9.4638,26363,96.2485,23.0438,26363,92.4060,26.9886,26363
1.0408,93.9477,15.0507,24536,96.3441,28.3058,24536,93.5727,31.1904,24536
1.0500,94.0430,16.3958,24123,96.3686,29.4947,24123,93.7280,32.2364,24123
1.1398,94.3599,27.9860,20709,96.5571,39.3546,20709,94.1571,41.5603,20709
1.1500,94.3828,29.1616,20366,96.5678,40.3524,20366,94.1962,42.5043,20366
1.2388,94.5401,38.8686,17546,96.6203,48.5836,17546,94.2323,50.4466,17546
1.2500,94.5584,39.8673,17256,96.6099,49.4389,17256,94.2223,51.2708,17256
1.3378,94.7274,47.5622,15021,96.7312,55.9323,15021,94.3745,57.5136,15021
1.3500,94.7286,48.5425,14740,96.7232,56.7603,14740,94.3758,58.3079,14740
1.4367,94.9744,54.9401,12874,96.8774,62.1740,12874,94.5549,63.5168,12874
1.4500,95.0568,55.9204,12583,96.9244,63.0110,12583,94.5800,64.3320,12583
1.5000,95.1060,59.1782,11647,96.9692,65.7467,11647,94.6338,66.9664,11647
1.5357,95.2135,61.2198,11052,97.0051,67.4845,11052,94.6706,68.6417,11052
1.5500,95.2284,62.0490,10814,97.0131,68.1821,10814,94.6643,69.3191,10814
1.6347,95.2486,66.4603,9555,97.0382,71.8792,9555,94.6520,72.8946,9555
1.6500,95.2447,67.2268,9337,97.0440,72.5191,9337,94.6664,73.5090,9337
1.7337,95.1384,70.8642,8310,97.0036,75.5520,8310,94.5487,76.4521,8310
1.7500,95.1778,71.4870,8129,97.0107,76.0827,8129,94.6488,76.9406,8129
1.8327,95.1602,74.4942,7273,97.0439,78.5940,7273,94.6377,79.3712,7273
1.8500,95.1559,75.0249,7122,97.0514,79.0368,7122,94.6644,79.7938,7122
1.9316,95.2657,77.6046,6379,97.0842,81.2174,6379,94.7641,81.8828,6379
1.9500,95.2626,78.1389,6227,97.0612,81.6693,6227,94.7487,82.3173,6227
2.0000,95.3357,79.4362,5853,97.1809,82.7490,5853,94.8403,83.3633,5853
2.0306,95.3476,80.1364,5653,97.1520,83.3434,5653,94.7815,83.9417,5653
2.0500,95.3986,80.5933,5520,97.1739,83.7317,5520,94.8188,84.3134,5520
2.1296,95.4272,82.4655,4986,97.1520,85.3087,4986,95.0261,85.7999,4986
2.1500,95.5255,82.8487,4872,97.2701,85.6272,4872,95.1560,86.1056,4872
2.2286,95.6776,84.3376,4442,97.2985,86.8919,4442,95.1824,87.3284,4442
2.2500,95.7113,84.7024,4337,97.3253,87.1982,4337,95.1810,87.6281,4337
2.3276,95.8619,86.0844,3939,97.3343,88.3720,3939,95.2780,88.7520,3939
2.3500,95.8876,86.4234,3842,97.3191,88.6601,3842,95.2889,89.0278,3842
2.4265,95.8754,87.4074,3564,97.3345,89.4790,3564,95.2301,89.8280,3564
2.4500,95.9148,87.7133,3476,97.3820,89.7337,3476,95.2819,90.0737,3476
2.5255,95.9640,88.6088,3221,97.3300,90.4919,3221,95.3120,90.7990,3221
2.5500,95.9391,88.8557,3152,97.3033,90.6982,3152,95.3680,90.9908,3152
2.6245,95.9575,89.6775,2919,97.2593,91.3897,2919,95.3066,91.6622,2919
2.6500,95.9184,89.9539,2842,97.2555,91.6171,2842,95.2850,91.8840,2842
2.7235,95.8270,90.6910,2636,97.2307,92.2267,2636,95.1442,92.4834,2636
2.7500,95.8026,90.9158,2573,97.2406,92.4117,2573,95.1419,92.6632,2573
2.8224,95.9950,91.5202,2397,97.4552,92.9152,2397,95.3692,93.1487,2397
2.8500,96.0222,91.7266,2338,97.4765,93.0881,2338,95.3807,93.3165,2338
2.9214,96.4513,92.1872,2198,97.7252,93.4854,2198,95.8599,93.6852,2198
2.9500,96.4319,92.4304,2130,97.6526,93.6916,2130,95.7746,93.8860,2130
3.0000,96.3439,92.8137,2024,97.5791,94.0101,2024,95.8004,94.1887,2024
3.0204,96.3372,92.9243,1993,97.5916,94.1011,1993,95.8354,94.2756,1993
3.0500,96.2925,93.1085,1942,97.5283,94.2557,1942,95.7775,94.4255,1942
3.1194,96.4305,93.4292,1849,97.4581,94.5348,1849,95.7815,94.6922,1849
3.1500,96.4582,93.5766,1807,97.5097,94.6561,1807,95.7941,94.8121,1807
3.2184,96.5579,94.0041,1685,97.6261,95.0109,1685,95.8457,95.1597,1685
3.2500,96.7293,94.1146,1651,97.7589,95.1049,1651,95.9419,95.2527,1651
3.3173,96.7990,94.4279,1562,97.7593,95.3688,1562,96.0948,95.5014,1562
3.3500,96.7869,94.5605,1525,97.7049,95.4810,1525,96.0000,95.6123,1525
3.4163,96.8472,94.7927,1459,97.8067,95.6721,1459,96.0932,95.7981,1459
3.4500,96.7628,94.9327,1421,97.7481,95.7873,1421,95.9887,95.9120,1421
3.5153,96.5976,95.1870,1352,97.6331,95.9966,1352,95.7840,96.1188,1352
3.5500,96.5805,95.3160,1316,97.6444,96.1028,1316,95.7447,96.2237,1316
3.6143,96.8178,95.5150,1257,97.6929,96.2756,1257,96.0223,96.3825,1257
3.6500,96.9968,95.5961,1232,97.8084,96.3454,1232,96.1851,96.4485,1232
3.7133,96.9064,95.7288,1196,97.7425,96.4546,1196,96.1538,96.5534,1196
3.7500,96.8322,95.8320,1168,97.6884,96.5395,1168,96.0616,96.6373,1168
3.8122,96.8085,95.9757,1128,97.6950,96.6578,1128,96.0106,96.7542,1128
3.8500,96.8211,96.0715,1101,97.6385,96.7397,1101,95.9128,96.8351,1101
3.9112,96.8195,96.1857,1069,97.5678,96.8367,1069,95.8840,96.9280,1069
3.9500,96.7557,96.2631,1048,97.5191,96.9004,1048,95.8015,96.9909,1048
4.0102,96.6634,96.3700,1019,97.4485,96.9884,1019,95.6820,97.0779,1019
4.0500,96.9574,96.4769,986,97.7688,97.0763,986,95.9432,97.1648,986
4.1092,96.9854,96.5616,962,97.7131,97.1491,962,95.9459,97.2337,962
4.1500,96.9214,96.6353,942,97.6645,97.2098,942,95.8599,97.2937,942
4.2082,97.0748,96.6980,923,97.6165,97.2674,923,95.9913,97.3446,923
4.2500,97.0982,96.7938,896,97.6562,97.3462,896,96.0938,97.4195,896
4.3071,97.0286,96.8712,875,97.6000,97.4099,875,96.0000,97.4825,875
4.3500,96.9732,96.9302,859,97.6717,97.4554,859,95.9255,97.5304,859
4.4061,96.9048,97.0002,840,97.6190,97.5130,840,95.8333,97.5874,840
4.4500,96.8331,97.0702,821,97.5639,97.5707,821,95.7369,97.6443,821
4.5051,96.7621,97.1365,803,97.5093,97.6253,803,95.6413,97.6983,803
4.5500,96.7296,97.1660,795,97.4843,97.6495,795,95.5975,97.7222,795
4.6041,96.7742,97.2360,775,97.5484,97.7071,775,95.6129,97.7792,775
4.6500,96.8421,97.2876,760,97.5000,97.7526,760,95.5263,97.8241,760
4.7031,96.9128,97.3392,745,97.4497,97.7981,745,95.4362,97.8691,745
4.7500,97.0068,97.3724,735,97.5510,97.8254,735,95.5102,97.8961,735
4.8020,97.1034,97.4056,725,97.6552,97.8527,725,95.5862,97.9230,725
4.8500,97.0588,97.4461,714,97.6190,97.8861,714,95.5182,97.9560,714
4.9010,97.2896,97.4866,701,97.8602,97.9194,701,95.7204,97.9890,701
4.9500,97.2384,97.5345,688,97.8198,97.9589,688,95.6395,98.0279,688
5.0000,97.1976,97.5714,678,97.7876,97.9892,678,95.5752,98.0579,678
