number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_num_seeds_per_spm,params_seed_impactMax,params_seed_minPt,params_seed_sigmaScattering,system_attrs_NSGAIISampler:generation,state
0,89.46152925491333,33.66996645927429,0.0,110.42050361633301,2026-07-22 00:47:33.036022,2026-07-22 00:49:31.057668,0 days 00:01:58.021646,29,1.2773358635717913,0.4799020965817473,8.583834679284967,0,COMPLETE
1,49.71849322319031,25.76347589492798,0.0,62.74338102340698,2026-07-22 00:47:33.053938,2026-07-22 00:48:49.033191,0 days 00:01:15.979253,30,9.778578414341775,1.2081134063743835,2.1473693624613057,0,COMPLETE
2,43.626388907432556,22.696246206760406,0.0,122.3755042552948,2026-07-22 00:47:33.070971,2026-07-22 00:49:47.568778,0 days 00:02:14.497807,55,4.380238180938173,1.536713172601758,8.3152036577475,0,COMPLETE
3,90.28439521789551,48.40676784515381,0.015246226394083351,319.30608773231506,2026-07-22 00:47:33.085923,2026-07-22 00:53:08.028824,0 days 00:05:34.942901,65,2.8856599779972165,0.451948289170071,7.427875948134881,0,COMPLETE
4,64.64558839797974,18.349753320217133,0.0,86.46709847450256,2026-07-22 00:47:33.040097,2026-07-22 00:49:08.976122,0 days 00:01:35.936025,28,1.1139240412533757,1.0030527206564157,5.294643898306258,0,COMPLETE
5,87.7580463886261,46.53400182723999,0.008223007898777723,245.6512598991394,2026-07-22 00:47:33.097507,2026-07-22 00:51:48.828939,0 days 00:04:15.731432,61,4.852573217949741,0.7453764622481576,7.05980186841232,0,COMPLETE
6,55.680668354034424,18.785540759563446,0.0,83.41485285758972,2026-07-22 00:47:33.116120,2026-07-22 00:49:09.697785,0 days 00:01:36.581665,78,1.5945740549310563,1.167175942168368,5.393318402470238,0,COMPLETE
7,76.31009221076965,6.897717714309692,0.0,39.25449895858765,2026-07-22 00:47:33.162661,2026-07-22 00:48:21.936138,0 days 00:00:48.773477,1,6.141955403289064,0.6980705630905657,6.873535337591807,0,COMPLETE
8,50.81564784049988,24.428103864192963,0.0,87.94678831100464,2026-07-22 00:48:21.954999,2026-07-22 00:49:54.353355,0 days 00:01:32.398356,21,9.572186189403297,1.2701458757202868,4.819111443654539,0,COMPLETE
9,27.760934829711914,11.83510646224022,0.0,59.80106067657471,2026-07-22 00:48:49.052123,2026-07-22 00:49:51.054014,0 days 00:01:02.001891,71,1.6671854035425886,1.884800222518321,7.052782127994375,0,COMPLETE
10,89.92348909378052,55.88003993034363,0.013095862232148647,237.46230387687683,2026-07-22 00:49:08.992828,2026-07-22 00:53:10.256720,0 days 00:04:01.263892,71,7.028213804723255,0.4519896127793178,2.60741166246899,0,COMPLETE
11,39.90183472633362,14.584560692310333,0.0,70.12347984313965,2026-07-22 00:49:09.711177,2026-07-22 00:50:20.870185,0 days 00:01:11.159008,11,8.462043760894517,1.564085267664426,9.44663617409418,0,COMPLETE
12,90.15446901321411,39.89863097667694,0.008892050391295925,240.87224817276,2026-07-22 00:49:31.076387,2026-07-22 00:53:33.869749,0 days 00:04:02.793362,45,5.928214897421161,0.33580421343631617,2.353003520417646,0,COMPLETE
13,46.42702341079712,10.779877752065659,0.0,26.499945163726807,2026-07-22 00:49:47.586862,2026-07-22 00:50:15.108828,0 days 00:00:27.521966,3,4.815327864525012,1.1914689206214601,2.321129318942707,0,COMPLETE
14,31.83196187019348,15.401540696620941,0.0,59.120179414749146,2026-07-22 00:49:51.070721,2026-07-22 00:50:52.435657,0 days 00:01:01.364936,61,5.733155863765507,1.6605749095506728,3.3739420980196586,0,COMPLETE
15,30.171790719032288,16.61585420370102,0.0,76.30367827415466,2026-07-22 00:49:54.369981,2026-07-22 00:51:12.890430,0 days 00:01:18.520449,43,9.11361759595933,1.913229800089751,6.676233051584479,0,COMPLETE
16,36.24945878982544,19.00215595960617,0.0,64.62483787536621,2026-07-22 00:50:15.125298,2026-07-22 00:51:20.658175,0 days 00:01:05.532877,55,4.120627050487075,1.6957697953527544,7.217324452875515,0,COMPLETE
17,88.81189823150635,38.73964250087738,0.0,354.83897376060486,2026-07-22 00:50:20.888964,2026-07-22 00:56:16.838618,0 days 00:05:55.949654,53,7.412631196638135,0.3162666130838224,4.234844033525177,0,COMPLETE
18,75.55940747261047,40.08009433746338,0.010823682532645762,199.9300012588501,2026-07-22 00:50:52.454019,2026-07-22 00:54:14.093269,0 days 00:03:21.639250,73,3.722991365535633,0.9183762180047641,5.287590611254931,0,COMPLETE
19,78.533273935318,19.894294440746307,0.0,115.51482033729553,2026-07-22 00:51:12.905166,2026-07-22 00:53:10.307821,0 days 00:01:57.402655,13,9.473369685265999,0.37796883248612206,8.145877238698294,0,COMPLETE
20,88.26331496238708,37.1165931224823,0.01935171749209985,95.75829553604126,2026-07-22 00:51:20.672854,2026-07-22 00:52:57.333682,0 days 00:01:36.660828,28,8.949276453434754,0.7184510103017717,4.079054538989914,0,COMPLETE
21,36.33607625961304,18.84414404630661,0.0,74.0389051437378,2026-07-22 00:51:48.846110,2026-07-22 00:53:04.733993,0 days 00:01:15.887883,57,6.045793579856688,1.5749226409763255,4.273146866814161,0,COMPLETE
22,88.19113373756409,25.204187631607056,0.011503508721943945,69.21730709075928,2026-07-22 00:52:57.352098,2026-07-22 00:54:07.559797,0 days 00:01:10.207699,16,2.430003696446035,0.47595709558937505,7.012917753810589,0,COMPLETE
23,29.940810799598694,15.052920579910278,0.0,74.55794787406921,2026-07-22 00:53:04.752054,2026-07-22 00:54:23.540687,0 days 00:01:18.788633,57,3.1194675988224096,1.9922363851646139,8.914254155656284,0,COMPLETE
24,67.92262196540833,40.244048833847046,0.011963153519900516,227.93954610824585,2026-07-22 00:53:08.046655,2026-07-22 00:56:57.541196,0 days 00:03:49.494541,71,9.937960081336644,1.0933511125239332,9.148607283842823,0,COMPLETE
25,54.496896266937256,30.6561678647995,0.0,91.45600819587708,2026-07-22 00:53:10.273669,2026-07-22 00:54:45.451831,0 days 00:01:35.178162,61,7.66593846827967,1.1825429745596934,3.468350614061392,0,COMPLETE
26,38.08286488056183,19.53420639038086,0.0,109.20107197761536,2026-07-22 00:53:10.325995,2026-07-22 00:55:01.379749,0 days 00:01:51.053754,47,4.2256176430122245,1.6542547513950476,7.524500533475952,0,COMPLETE
27,53.90501022338867,29.969581961631775,0.0,111.82680368423462,2026-07-22 00:53:33.885926,2026-07-22 00:55:28.776832,0 days 00:01:54.890906,79,4.984584639091279,1.2511512880040903,5.417273741910885,0,COMPLETE
28,81.2328577041626,41.029179096221924,0.00985804435913451,191.53470587730408,2026-07-22 00:54:07.575633,2026-07-22 00:57:22.961778,0 days 00:03:15.386145,47,5.929574593869691,0.8419743004250093,5.263744703805234,0,COMPLETE
29,63.635051250457764,22.701972723007202,0.016866250371094793,102.14532113075256,2026-07-22 00:54:14.108582,2026-07-22 00:55:57.998676,0 days 00:01:43.890094,43,1.5645212585886275,1.083784159821556,7.413437250268177,0,COMPLETE
30,86.81969046592712,28.48491668701172,0.0,140.64637851715088,2026-07-22 00:54:23.556291,2026-07-22 00:56:46.192617,0 days 00:02:22.636326,23,9.99684158589129,0.3822961251655853,4.416219982059779,0,COMPLETE
31,76.65656208992004,19.7674423456192,0.0,67.86705446243286,2026-07-22 00:54:45.467471,2026-07-22 00:55:55.117220,0 days 00:01:09.649749,10,4.67627842666276,0.8380897254934068,4.2081422698915345,0,COMPLETE
32,79.74592447280884,22.951695322990417,0.0,71.64644503593445,2026-07-22 00:55:01.395223,2026-07-22 00:56:16.356898,0 days 00:01:14.961675,20,1.5612323973367737,0.8421809263706515,8.179433700636467,0,COMPLETE
33,89.62032794952393,54.04232144355774,0.00689227381371893,371.2000205516815,2026-07-22 00:55:28.792003,2026-07-22 01:01:42.128289,0 days 00:06:13.336286,80,3.7755496983538737,0.582977333787223,5.240318311643888,0,COMPLETE
34,26.79370641708374,13.791574537754059,0.0,46.16288900375366,2026-07-22 00:55:55.132720,2026-07-22 00:56:42.916121,0 days 00:00:47.783401,68,7.559571250038465,1.8444200064530865,3.384158328196299,0,COMPLETE
35,47.235456109046936,25.406813621520996,0.0,119.67334055900574,2026-07-22 00:55:58.013284,2026-07-22 00:57:59.473754,0 days 00:02:01.460470,48,7.8459662825977174,1.4441775674990507,7.464923931161835,0,COMPLETE
36,30.73480725288391,15.66401869058609,0.0,41.19833159446716,2026-07-22 00:56:16.372063,2026-07-22 00:57:01.223851,0 days 00:00:44.851788,16,7.244229626194996,1.9356506235396134,7.966425886602423,0,COMPLETE
37,61.397433280944824,30.943569540977478,0.0,120.21271657943726,2026-07-22 00:56:16.853658,2026-07-22 00:58:26.593889,0 days 00:02:09.740231,51,4.709136972497629,1.1786047637909804,7.8078602593583355,0,COMPLETE
38,73.19185733795166,22.18514233827591,0.0,78.53214836120605,2026-07-22 00:56:42.930919,2026-07-22 00:58:03.393948,0 days 00:01:20.463029,14,9.878536792114108,0.8830539594739852,6.896432446547806,0,COMPLETE
39,27.60213613510132,13.750000298023224,0.0,40.42208552360535,2026-07-22 00:56:46.208019,2026-07-22 00:57:28.311689,0 days 00:00:42.103670,69,7.203067694433218,1.7802552205891424,2.943528067756758,0,COMPLETE
40,53.93388271331787,18.8237726688385,0.0,76.99176073074341,2026-07-22 00:56:57.556047,2026-07-22 00:58:16.331394,0 days 00:01:18.775347,17,3.722477834600866,1.2527284682092488,9.167409291276165,0,COMPLETE
41,28.453877568244934,12.153518199920654,0.0,28.522356748580933,2026-07-22 00:57:01.240307,2026-07-22 00:57:33.263218,0 days 00:00:32.022911,7,7.829692481820796,1.9149951539682333,6.701980139716164,0,COMPLETE
42,23.97863417863846,10.69408729672432,0.0,40.07279300689697,2026-07-22 00:57:22.977984,2026-07-22 00:58:10.590321,0 days 00:00:47.612337,60,3.6699716318201236,1.8496597121720388,2.276139614133581,0,COMPLETE
43,89.56258296966553,30.85050880908966,0.0,102.01306939125061,2026-07-22 00:57:28.326726,2026-07-22 00:59:12.191362,0 days 00:01:43.864636,18,5.115145640818194,0.4544549932008023,2.1682709001389293,0,COMPLETE
