event_id,total_rows,hole_fraction,majority_undefined_fraction,positive_fraction,median_n_window,mean_chi2_inc,outlier_flags
0,44085846,0.02458,0.90288,0.006631,20.0,42.12,
1,33767195,0.02646,0.90245,0.007756,19.0,41.45,
2,46391705,0.02387,0.90205,0.006399,20.0,42.0,
3,52150673,0.02302,0.90391,0.006603,21.0,42.44,
4,92807631,0.02139,0.90493,0.00463,24.0,43.33,
7,199699002,0.01675,0.90454,0.002846,31.0,45.24,"total_rows, hole_fraction, positive_fraction, median_n_window, mean_chi2_inc"
8,56651521,0.02342,0.90216,0.00599,21.0,42.49,
9,83043988,0.02138,0.90251,0.004763,24.0,43.32,
11,76316279,0.02147,0.90393,0.005014,23.0,43.3,
12,38204991,0.02386,0.90041,0.00754,20.0,42.1,
13,82891263,0.0205,0.902,0.004678,24.0,43.32,
16,62108889,0.02314,0.90037,0.005503,22.0,42.78,
19,61434041,0.02358,0.90207,0.005265,22.0,42.74,
20,40223244,0.02573,0.9047,0.007634,19.0,42.05,
21,78116005,0.02216,0.90565,0.005023,23.0,43.01,
23,108682105,0.01934,0.90304,0.004014,26.0,43.79,
24,34140916,0.02721,0.90308,0.008517,19.0,41.3,
25,47316831,0.02294,0.90011,0.006474,21.0,42.5,
26,81622481,0.02139,0.90382,0.004821,23.0,43.28,
27,76214102,0.02145,0.90541,0.005026,23.0,43.19,
31,49004124,0.02295,0.9027,0.005926,20.0,42.45,
