tau_g,tau_v,efficiency,fake_rate,duplicate_rate_pre_ambi,duplicate_rate_post_ambi,runtime_per_event_s,gate_calls,value_calls,wall_seconds
0.3,0.1,0.938034188034188,0.4764213263988495,0.17348642647266388,0.0,158.143230232,2888578.0,3105456.0,
0.3,0.2,0.9348290598290598,0.4550953805446625,0.1831672191619873,0.0,150.864500769,2809456.0,2866983.0,
0.3,0.4,0.9006410256410257,0.3925027549266815,0.189017653465271,0.0,136.352604139,2602817.0,2217483.0,
0.5,0.1,0.9188034188034188,0.32600951194763184,0.20579449832439423,0.0,128.524519622,2451475.0,2336828.0,
0.5,0.2,0.9262820512820513,0.27994874119758606,0.2168635129928589,0.0,125.04975156,2391299.0,2159692.0,
0.5,0.4,0.8803418803418803,0.21601209044456482,0.23191824555397034,0.0,111.810721133,2233894.0,1634055.0,
0.7,0.1,0.9006410256410257,0.21827411651611328,0.19874803721904755,0.0,116.169395359,2273278.0,1902017.0,
0.7,0.2,0.8952991452991453,0.22043795883655548,0.2089257538318634,0.0,112.538940115,2230391.0,1761255.0,
0.7,0.4,0.8514957264957265,0.14798599481582642,0.2160039246082306,0.0008756567258387804,102.171612201,2086902.0,1281816.0,
0.9,0.1,0.7286324786324786,0.22242817282676697,0.22259941697120667,0.0009267840650863945,109.803285699,2210437.0,1451075.0,
0.9,0.2,0.7403846153846154,0.1976856291294098,0.2011088728904724,0.0009643201483413577,107.458399083,2176147.0,1340382.0,
0.9,0.4,0.6549145299145299,0.17298577725887299,0.2063789814710617,0.0,97.410647343,2050244.0,915176.0,
