tau_g,tau_v,efficiency,fake_rate,source
0.3,0.1,0.938034188034188,0.4764213263988495,warm
0.3,0.2,0.9348290598290598,0.4550953805446625,warm
0.3,0.4,0.9006410256410257,0.3925027549266815,warm
0.5,0.1,0.9188034188034188,0.32600951194763184,warm
0.5,0.2,0.9262820512820513,0.27994874119758606,warm
0.5,0.4,0.8803418803418803,0.21601209044456482,warm
0.7,0.1,0.9006410256410257,0.21827411651611328,warm
0.7,0.2,0.8952991452991453,0.22043795883655548,warm
0.7,0.4,0.8514957264957265,0.14798599481582642,warm
0.9,0.1,0.7286324786324786,0.22242817282676697,warm
0.9,0.2,0.7403846153846154,0.1976856291294098,warm
0.9,0.4,0.6549145299145299,0.17298577725887299,warm
0.6258,0.7261,0.4727854855923159,0.21594202518463135,ehvi_r0
0.6253,0.7289,0.4700854700854701,0.21260997653007507,ehvi_r0
0.6251,0.7311,0.46260683760683763,0.21961933374404907,ehvi_r0
0.6255,0.7275,0.0,1.0,fail_j57654997
0.6252,0.7294,0.469017094017094,0.2090643346309662,ehvi_r0
0.6253,0.7283,0.46474358974358976,0.21260997653007507,ehvi_r0
0.6258,0.7265,0.4668803418803419,0.21198830008506775,ehvi_r0
0.6256,0.7288,0.4668803418803419,0.21764706075191498,ehvi_r0
0.2746,0.2244,0.9337606837606838,0.46936938166618347,ehvi_r1
0.2736,0.2245,0.9337606837606838,0.47079965472221375,ehvi_r1
0.275,0.2244,0.9316239316239316,0.4698198139667511,ehvi_r1
0.2739,0.2245,0.9316239316239316,0.470085471868515,ehvi_r1
0.2739,0.2245,0.936965811965812,0.47600001096725464,ehvi_r1
0.2745,0.2245,0.936965811965812,0.4755120277404785,ehvi_r1
0.2734,0.2245,0.9305555555555556,0.4725225269794464,ehvi_r1
0.2748,0.2244,0.9305555555555556,0.471783310174942,ehvi_r1
0.4323,0.2149,0.9305555555555556,0.3261250853538513,ehvi_r2
0.432,0.2149,0.9305555555555556,0.3261250853538513,ehvi_r2
0.4323,0.2149,0.9294871794871795,0.3292325735092163,ehvi_r2
0.4321,0.2149,0.9305555555555556,0.3224465548992157,ehvi_r2
0.4322,0.2149,0.9294871794871795,0.3292325735092163,ehvi_r2
0.4324,0.2149,0.9294871794871795,0.3292325735092163,ehvi_r2
0.4323,0.2149,0.9294871794871795,0.3292325735092163,ehvi_r2
0.4323,0.2149,0.9294871794871795,0.3292325735092163,ehvi_r2
0.3784,0.2218,0.9294871794871795,0.35474860668182373,ehvi_r3
0.3781,0.2217,0.9294871794871795,0.3553072512149811,ehvi_r3
0.3781,0.2217,0.9294871794871795,0.3553072512149811,ehvi_r3
0.378,0.2217,0.9294871794871795,0.35566723346710205,ehvi_r3
0.3781,0.2217,0.9294871794871795,0.3553072512149811,ehvi_r3
0.378,0.2217,0.9294871794871795,0.35566723346710205,ehvi_r3
0.3781,0.2217,0.9294871794871795,0.3553072512149811,ehvi_r3
0.3781,0.2217,0.9252136752136753,0.3639380633831024,ehvi_r3
0.3306,0.05,0.9348290598290598,0.45207372307777405,ehvi_r4
0.3761,0.2309,0.9305555555555556,0.35447338223457336,ehvi_r4
0.376,0.231,0.9316239316239316,0.35498321056365967,ehvi_r4
0.3313,0.05,0.9444444444444444,0.45182111859321594,ehvi_r4
0.3763,0.2311,0.9316239316239316,0.35498321056365967,ehvi_r4
0.3763,0.2312,0.9316239316239316,0.35498321056365967,ehvi_r4
0.3759,0.2309,0.9316239316239316,0.35534414649009705,ehvi_r4
0.3762,0.2311,0.9316239316239316,0.35498321056365967,ehvi_r4
