tau_g,tau_v,efficiency,fake_rate,source
0.3,0.1,0.9231,0.1374,warm
0.5,0.2,0.9145,0.0999,warm
0.7,0.4,0.8365,0.0757,warm
0.3152,0.5275,0.7457264957264957,0.12473572790622711,ehvi_r0
0.2224,0.1111,0.9252136752136753,0.1642475128173828,ehvi_r0
0.7583,0.6407,0.5245726495726496,0.08598726242780685,ehvi_r0
0.6238,0.568,0.6666666666666666,0.08641975373029709,ehvi_r0
0.0852,0.372,0.8888888888888888,0.2872852087020874,ehvi_r0
0.7218,0.1114,0.8985042735042735,0.09171076118946075,ehvi_r0
0.7216,0.1116,0.9017094017094017,0.08994708955287933,ehvi_r0
0.7224,0.1109,0.9017094017094017,0.08435852080583572,ehvi_r0
0.2313,0.1644,0.9230769230769231,0.17167051136493683,ehvi_r1
0.2313,0.1644,0.9262820512820513,0.16203702986240387,ehvi_r1
0.2312,0.1644,0.9262820512820513,0.17228177189826965,ehvi_r1
0.2312,0.1643,0.9284188034188035,0.15432579815387726,ehvi_r1
0.2312,0.1643,0.9155982905982906,0.17223064601421356,ehvi_r1
0.2313,0.1644,0.9241452991452992,0.1600928008556366,ehvi_r1
0.2313,0.1644,0.9262820512820513,0.15432579815387726,ehvi_r1
0.2313,0.1643,0.9188034188034188,0.1587548702955246,ehvi_r1
0.6958,0.95,0.2168803418803419,0.13653136789798737,ehvi_r2
0.6958,0.95,0.21794871794871795,0.12313432991504669,ehvi_r2
0.6958,0.95,0.2168803418803419,0.12781955301761627,ehvi_r2
0.6958,0.95,0.21474358974358973,0.10424710065126419,ehvi_r2
0.6958,0.95,0.2094017094017094,0.10629921406507492,ehvi_r2
0.6958,0.95,0.22008547008547008,0.1221374049782753,ehvi_r2
0.6958,0.95,0.2264957264957265,0.11397058516740799,ehvi_r2
0.6958,0.95,0.21794871794871795,0.13333334028720856,ehvi_r2
0.6401,0.245,0.9091880341880342,0.08384819328784943,ehvi_r3
0.6397,0.2437,0.9113247863247863,0.08084358274936676,ehvi_r3
0.6397,0.2436,0.9113247863247863,0.08084358274936676,ehvi_r3
0.64,0.2446,0.9091880341880342,0.07992894947528839,ehvi_r3
0.6395,0.2426,0.9091880341880342,0.07992894947528839,ehvi_r3
0.6402,0.2454,0.9155982905982906,0.08296943455934525,ehvi_r3
0.6403,0.2456,0.9155982905982906,0.08296943455934525,ehvi_r3
0.6403,0.2458,0.9113247863247863,0.07384341955184937,ehvi_r3
0.8953,0.339,0.6784188034188035,0.09582309424877167,ehvi_r4
0.8946,0.3401,0.6730769230769231,0.10134310275316238,ehvi_r4
0.8971,0.3368,0.6730769230769231,0.10315533727407455,ehvi_r4
0.8976,0.3364,0.6602564102564102,0.1111111119389534,ehvi_r4
0.8966,0.3374,0.6634615384615384,0.11070110648870468,ehvi_r4
0.8969,0.3372,0.6602564102564102,0.11463414877653122,ehvi_r4
0.8971,0.337,0.6602564102564102,0.11341463774442673,ehvi_r4
0.8985,0.3354,0.6591880341880342,0.10754017531871796,ehvi_r4
