tau_g,tau_v,efficiency,fake_rate,duplicate_rate_pre_ambi,duplicate_rate_post_ambi,runtime_per_event_s,gate_calls,value_calls,wall_seconds
0.3,0.1,0.938034188034188,0.26718470454216003,0.23730780184268951,0.0005977286491543055,501.762956267,17072051.0,2420872.0,
0.3,0.2,0.9294871794871795,0.2654434144496918,0.2224193960428238,0.0,501.777268494,16983608.0,2377639.0,
0.3,0.4,0.780982905982906,0.3005738854408264,0.1795690357685089,0.0007173601188696921,489.816317393,16767398.0,2214330.0,
0.5,0.1,0.9166666666666666,0.16379955410957336,0.26012182235717773,0.0014958863612264395,537.720398799,19700265.0,1376118.0,
0.5,0.2,0.9102564102564102,0.18483063578605652,0.2643233835697174,0.0014727540547028184,536.294819245,19639089.0,1345627.0,
0.5,0.4,0.7564102564102564,0.22639860212802887,0.1940726637840271,0.0,530.347345774,19479518.0,1230312.0,
0.7,0.1,0.8525641025641025,0.1268591433763504,0.29075849056243896,0.0008748906548134983,600.750474819,22953037.0,805448.0,
0.7,0.2,0.8376068376068376,0.13079018890857697,0.23867924511432648,0.000908265239559114,598.75933608,22898333.0,773433.0,
0.7,0.4,0.6549145299145299,0.2058504819869995,0.15789473056793213,0.0010834236163645983,593.664030412,22785632.0,692749.0,
0.9,0.1,0.5491452991452992,0.21862348914146423,0.2551470696926117,0.0,699.757291578,27582995.0,328599.0,
0.9,0.2,0.5138888888888888,0.21688500046730042,0.18205805122852325,0.0,698.570382928,27522644.0,309701.0,
0.9,0.4,0.38247863247863245,0.22937625646591187,0.11678832024335861,0.0,695.638843069,27489951.0,261284.0,
